Name,AppID,protonBestReportedTier,protonConfidence,protonScore,protonTier,protonTotal,protonTrendingTier
Global Ops: Commando Libya,200020,platinum,low,0.37,platinum,3,platinum
Puzzler World 2,200130,platinum,low,0.35,gold,4,gold
Death Rally,108700,platinum,moderate,0.68,platinum,12,platinum
Data Jammers: FastForward,110500,platinum,inadequate,0.21,pending,2,pending
Portal 2 - The Final Hours,104600,platinum,moderate,0.23,silver,15,silver
The Cursed Crusade,106000,platinum,low,0.44,platinum,3,platinum
Waves,107600,platinum,good,0.55,gold,25,silver
Orcs Must Die! Demo,102610,,,,,,
Silo 2,100400,platinum,inadequate,0.21,pending,1,pending
Puzzle Pirates,99910,platinum,low,0.36,gold,11,gold
Frozen Synapse,98200,platinum,low,0.57,platinum,6,platinum
The Cat and the Coup,95700,platinum,low,0.51,platinum,7,platinum
Air Conflicts - Secret Wars,95900,platinum,moderate,0.25,silver,11,platinum
Defy Gravity,96100,platinum,good,0.02,borked,20,bronze
Kohan: Immortal Sovereigns,97110,platinum,low,0.13,silver,4,silver
Kohan: Ahriman's Gift,97120,platinum,low,0.44,platinum,3,platinum
Kohan II: Kings of War,97130,platinum,low,0.19,silver,6,silver
Back to the Future: Ep 5 - OUTATIME,94530,platinum,moderate,0.56,platinum,9,platinum
Cloning Clyde,91800,platinum,low,0.07,bronze,5,bronze
Post Apocalyptic Mayhem,91900,platinum,moderate,0.29,silver,15,gold
DETOUR,92100,platinum,low,0.03,bronze,6,bronze
